"res_type","state_fips","station_id","direct_of_travel","lane_of_travel","year","func_class_code","num_lanes_direc_indicated","sample_type_for_traffic_vol","num_lanes_monitored_for_traffic_vol","method_of_traffic_vol_counting","sample_type_for_vehicle_class","num_lanes_monitored_for_vehicle_class","method_of_vehicle_class","alg_for_vehicle_class","class_sys_for_vehicle_class","sample_type_for_truck_weight","num_lanes_monitored_for_truck_weight","method_of_truck_weighing","calibration_of_weighing_sys","method_of_data_retrieval","type_of_sensor","second_type_of_sensor","primary_purpose","lrs_identification","lrs_location_point","latitude","longitude","shrp_site_identification","prev_station_id","year_station_established","year_station_discontinued","fips_county_code","hpms_sample_type","hpms_sample_identifier","national_highway_sys","posted_route_sign","posted_sign_route_num","concurrent_route_signing","concurrent_signed_route_num","station_location"
S,37,0W2802,1,3,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000005228,021874,35871800,080254200,0200,      ,04,10,057,N,            ,Y,2,00000052,0,00000000,0.40 MILES SOUTH OF NC 8                          
S,37,0W2802,1,4,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000005228,021874,35871800,080254200,0200,      ,04,10,057,N,            ,Y,2,00000052,0,00000000,0.40 MILES SOUTH OF NC 8                          
S,37,0W2802,5,1,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000005228,021874,35871800,080254200,0200,      ,04,10,057,N,            ,Y,2,00000052,0,00000000,0.40 MILES SOUTH OF NC 8                          
S,37,0W2802,5,2,13,12,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000005228,021874,35871800,080254200,0200,      ,04,10,057,N,            ,Y,2,00000052,0,00000000,0.40 MILES SOUTH OF NC 8                          
S,37,0W4701,3,2,13,06,1, ,1, , ,1, , ,  , ,1, , ,2,P,L,P,002000026447,008377,35546600,076439800,4701,      ,04,11,095,N,            ,N,2,00000264,3,00000045,0.10 MILES EAST OF SR 1168 (FIRETOWER RD)         
S,37,0W4701,7,1,13,06,1, ,1, , ,1, , ,  , ,1, , ,2,P,L,P,002000026447,008377,35546600,076439800,4701,      ,04,11,095,N,            ,N,2,00000264,3,00000045,0.10 MILES EAST OF SR 1168 (FIRETOWER RD)         
S,37,0W7001,3,1,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000004070,031303,34451100,077877300,7001,      ,04,10,141,N,            ,Y,1,00000040,0,00000000,0.70 MILES WEST OF NC 210                         
S,37,0W7001,3,2,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000004070,031303,34451100,077877300,7001,      ,04,10,141,N,            ,Y,1,00000040,0,00000000,0.70 MILES WEST OF NC 210                         
S,37,0W7001,7,3,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000004070,031303,34451100,077877300,7001,      ,04,10,141,N,            ,Y,1,00000040,0,00000000,0.70 MILES WEST OF NC 210                         
S,37,0W7001,7,4,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000004070,031303,34451100,077877300,7001,      ,04,10,141,N,            ,Y,1,00000040,0,00000000,0.70 MILES WEST OF NC 210                         
S,37,0W7301,1,1,13,06,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000042170,013934,34451800,078051300,7002,      ,04,11,141,N,            ,N,2,00000421,0,00000000,0.40 MILES SOUTH OF NC 210                        
S,37,0W7301,1,2,13,06,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000042170,013934,34451800,078051300,7002,      ,04,11,141,N,            ,N,2,00000421,0,00000000,0.40 MILES SOUTH OF NC 210                        
S,37,0W7301,5,3,13,06,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000042170,013934,34451800,078051300,7002,      ,04,11,141,N,            ,N,2,00000421,0,00000000,0.40 MILES SOUTH OF NC 210                        
S,37,0W7301,5,4,13,06,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000042170,013934,34451800,078051300,7002,      ,04,11,141,N,            ,N,2,00000421,0,00000000,0.40 MILES SOUTH OF NC 210                        
S,37,0W7501,1,1,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000007375,010874,35602400,079818200,7501,      ,04,11,151,N,            ,Y,1,00000073,1,00000074,0.80 MILES NORTH OF SR 1121 (NEW HOPE CHURCH RD)  
S,37,0W7501,1,2,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000007375,010874,35602400,079818200,7501,      ,04,11,151,N,            ,Y,1,00000073,1,00000074,0.80 MILES NORTH OF SR 1121 (NEW HOPE CHURCH RD)  
S,37,0W7501,5,3,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000007375,010874,35602400,079818200,7501,      ,04,11,151,N,            ,Y,1,00000073,1,00000074,0.80 MILES NORTH OF SR 1121 (NEW HOPE CHURCH RD)  
S,37,0W7501,5,4,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000007375,010874,35602400,079818200,7501,      ,04,11,151,N,            ,Y,1,00000073,1,00000074,0.80 MILES NORTH OF SR 1121 (NEW HOPE CHURCH RD)  
S,37,0W8501,1,1,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000007785,024116,36456600,080769400,5826,      ,03,11,171,N,            ,Y,1,00000077,0,00000000,2.25 MILES SOUTH OF NC 89 (WEST PINE ST)          
S,37,0W8501,1,2,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000007785,024116,36456600,080769400,5826,      ,03,11,171,N,            ,Y,1,00000077,0,00000000,2.25 MILES SOUTH OF NC 89 (WEST PINE ST)          
S,37,0W8501,5,3,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000007785,024116,36456600,080769400,5826,      ,03,11,171,N,            ,Y,1,00000077,0,00000000,2.25 MILES SOUTH OF NC 89 (WEST PINE ST)          
S,37,0W8501,5,4,13,01,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,001000007785,024116,36456600,080769400,5826,      ,03,11,171,N,            ,Y,1,00000077,0,00000000,2.25 MILES SOUTH OF NC 89 (WEST PINE ST)          
S,37,0W0301,3,1,13,14,2, ,2, , ,2, , ,  , ,2, , ,2,P,L,P,002000007403,030724,34962000,079980600,0301,      ,04,11,007,Y,000000100512,Y,2,00000074,0,00000000,0.30 MILES WEST OF SR 1740 (APPLE ORCHARD RD)     
